Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
South Australia,Australia,2020-02-17T08:13:09,2,0,03/21/2020
"Toronto, ON",Canada,2020-02-04T00:13:06,2,03/21/2020,0
,Iran,2020-02-19T23:43:02,2,2,03/21/2020
,Russia,2020-02-12T14:43:03,2,0,03/21/2020
,Spain,2020-02-15T17:23:04,2,0,03/21/2020
"Chicago, IL",US,2020-02-09T19:03:03,2,03/21/2020,2
"San Benito, CA",US,2020-02-03T03:53:02,2,03/21/2020,0
"San Diego County, CA",US,2020-02-13T03:13:08,2,03/21/2020,0
"Santa Clara, CA",US,2020-02-03T00:43:02,2,03/21/2020,0
,Belgium,2020-02-17T04:23:06,1,0,03/21/2020
,Cambodia,2020-02-12T07:43:02,1,0,03/21/2020
"London, ON",Canada,2020-02-12T18:53:03,1,03/21/2020,1
,Egypt,2020-02-14T23:53:02,1,0,03/21/2020
,Finland,2020-02-12T00:03:12,1,0,03/21/2020
Tibet,Mainland China,2020-02-12T06:43:02,1,0,03/21/2020
,Nepal,2020-02-12T14:43:03,1,0,03/21/2020
,Sri Lanka,2020-02-08T03:43:03,1,0,03/21/2020
,Sweden,2020-02-01T02:13:26,1,0,03/21/2020
"Boston, MA",US,2020-02-01T19:43:03,1,03/21/2020,0
"Los Angeles, CA",US,2020-02-01T19:53:03,1,03/21/2020,0
"Madison, WI",US,2020-02-05T21:53:02,1,03/21/2020,0
"Orange, CA",US,2020-02-01T19:53:03,1,03/21/2020,0
"San Antonio, TX",US,2020-02-13T18:53:02,1,03/21/2020,0
"Seattle, WA",US,2020-02-09T07:03:04,1,03/21/2020,1
"Tempe, AZ",US,2020-02-01T19:43:03,1,03/21/2020,0
Hubei,Mainland China,2020-02-20T23:43:02,62442,2144,03/21/2020
Guangdong,Mainland China,2020-02-20T11:13:27,1332,5,03/21/2020
Henan,Mainland China,2020-02-20T13:53:06,1265,19,03/21/2020
Zhejiang,Mainland China,2020-02-20T11:13:27,1175,1,03/21/2020
Hunan,Mainland China,2020-02-20T11:13:27,1010,4,03/21/2020
Anhui,Mainland China,2020-02-20T09:53:02,987,6,03/21/2020
Jiangxi,Mainland China,2020-02-20T05:23:02,934,1,03/21/2020
Diamond Princess cruise ship,Others,2020-02-20T15:53:03,634,2,03/21/2020
Jiangsu,Mainland China,2020-02-20T12:53:02,631,0,03/21/2020
Chongqing,Mainland China,2020-02-20T23:13:05,567,6,03/21/2020
Shandong,Mainland China,2020-02-20T11:13:27,546,4,03/21/2020
Sichuan,Mainland China,2020-02-20T09:53:02,520,3,03/21/2020
Heilongjiang,Mainland China,2020-02-20T09:43:01,476,12,03/21/2020
Beijing,Mainland China,2020-02-20T01:43:01,395,4,03/21/2020
Shanghai,Mainland China,2020-02-20T06:03:03,334,2,03/21/2020
Hebei,Mainland China,2020-02-20T11:13:27,307,5,03/21/2020
Fujian,Mainland China,2020-02-20T12:23:02,293,1,03/21/2020
Guangxi,Mainland China,2020-02-20T09:43:01,245,2,03/21/2020
Shaanxi,Mainland China,2020-02-20T09:53:02,245,1,03/21/2020
Yunnan,Mainland China,2020-02-20T23:13:05,174,2,03/21/2020
Hainan,Mainland China,2020-02-20T09:53:02,168,4,03/21/2020
Guizhou,Mainland China,2020-02-20T09:43:01,146,2,03/21/2020
Shanxi,Mainland China,2020-02-20T23:13:05,132,0,03/21/2020
Tianjin,Mainland China,2020-02-20T12:53:02,131,3,03/21/2020
Liaoning,Mainland China,2020-02-20T06:23:02,121,1,03/21/2020
,South Korea,2020-02-20T09:53:02,104,1,03/21/2020
,Japan,2020-02-20T15:53:03,94,1,03/21/2020
Gansu,Mainland China,2020-02-20T14:13:17,91,2,03/21/2020
Jilin,Mainland China,2020-02-20T09:43:01,91,1,03/21/2020
,Singapore,2020-02-19T22:13:08,84,0,03/21/2020
Xinjiang,Mainland China,2020-02-20T13:33:02,76,1,03/21/2020
Inner Mongolia,Mainland China,2020-02-20T12:53:02,75,0,03/21/2020
Ningxia,Mainland China,2020-02-20T05:23:02,71,0,03/21/2020
Hong Kong,Hong Kong,2020-02-20T23:13:05,68,2,03/21/2020
,Thailand,2020-02-17T07:33:02,35,0,03/21/2020
Taiwan,Taiwan,2020-02-20T02:13:19,24,1,03/21/2020
,Malaysia,2020-02-19T09:33:03,22,0,03/21/2020
Qinghai,Mainland China,2020-02-19T04:53:02,18,0,03/21/2020
,Germany,2020-02-18T17:03:03,16,0,03/21/2020
,Vietnam,2020-02-13T06:33:02,16,0,03/21/2020
,France,2020-02-15T20:53:02,12,1,03/21/2020
Macau,Macau,2020-02-20T02:13:19,10,0,03/21/2020
,UK,2020-02-16T16:23:06,9,0,03/21/2020
,United Arab Emirates,2020-02-16T20:43:02,9,0,03/21/2020
Queensland,Australia,2020-02-09T19:33:02,5,0,03/21/2020
British Columbia,Canada,2020-02-17T08:03:07,5,0,03/21/2020
,Iran,2020-02-20T17:33:02,5,2,03/21/2020
New South Wales,Australia,2020-02-13T17:53:03,4,0,03/21/2020
Victoria,Australia,2020-02-13T17:53:03,4,0,03/21/2020
,India,2020-02-16T07:43:02,3,0,03/21/2020
,Italy,2020-02-07T17:53:02,3,0,03/21/2020
,Philippines,2020-02-12T07:43:02,3,1,03/21/2020
South Australia,Australia,2020-02-17T08:13:09,2,0,03/21/2020
"Toronto, ON",Canada,2020-02-04T00:13:06,2,03/21/2020,0
,Russia,2020-02-12T14:43:03,2,0,03/21/2020
,Spain,2020-02-15T17:23:04,2,0,03/21/2020
"Chicago, IL",US,2020-02-09T19:03:03,2,03/21/2020,2
"San Benito, CA",US,2020-02-03T03:53:02,2,03/21/2020,0
"San Diego County, CA",US,2020-02-13T03:13:08,2,03/21/2020,0
"Santa Clara, CA",US,2020-02-03T00:43:02,2,03/21/2020,0
,Belgium,2020-02-17T04:23:06,1,0,03/21/2020
,Cambodia,2020-02-12T07:43:02,1,0,03/21/2020
"London, ON",Canada,2020-02-12T18:53:03,1,03/21/2020,1
,Egypt,2020-02-14T23:53:02,1,0,03/21/2020
,Finland,2020-02-12T00:03:12,1,0,03/21/2020
Tibet,Mainland China,2020-02-12T06:43:02,1,0,03/21/2020
,Nepal,2020-02-12T14:43:03,1,0,03/21/2020
,Sri Lanka,2020-02-08T03:43:03,1,0,03/21/2020
,Sweden,2020-02-01T02:13:26,1,0,03/21/2020
"Boston, MA",US,2020-02-01T19:43:03,1,03/21/2020,0
"Los Angeles, CA",US,2020-02-01T19:53:03,1,03/21/2020,0
"Madison, WI",US,2020-02-05T21:53:02,1,03/21/2020,0
"Orange, CA",US,2020-02-01T19:53:03,1,03/21/2020,0
"San Antonio, TX",US,2020-02-13T18:53:02,1,03/21/2020,0
"Seattle, WA",US,2020-02-09T07:03:04,1,03/21/2020,1
"Tempe, AZ",US,2020-02-01T19:43:03,1,03/21/2020,0
Hubei,Mainland China,2020-02-21T13:03:09,62662,2144,03/21/2020
Guangdong,Mainland China,2020-02-21T10:13:09,1333,5,03/21/2020
Henan,Mainland China,2020-02-21T13:43:02,1267,19,03/21/2020
Zhejiang,Mainland China,2020-02-21T10:23:02,1203,1,03/21/2020
Hunan,Mainland China,2020-02-21T15:13:07,1011,4,03/21/2020
Anhui,Mainland China,2020-02-21T10:13:09,988,6,03/21/2020
Jiangxi,Mainland China,2020-02-21T01:13:05,934,1,03/21/2020
Shandong,Mainland China,2020-02-21T10:23:02,749,4,03/21/2020
Diamond Princess cruise ship,Others,2020-02-20T15:53:03,634,2,03/21/2020
Jiangsu,Mainland China,2020-02-21T11:43:01,631,0,03/21/2020
Chongqing,Mainland China,2020-02-21T23:13:14,572,6,03/21/2020
Sichuan,Mainland China,2020-02-21T12:53:01,525,3,03/21/2020
Heilongjiang,Mainland China,2020-02-21T11:43:01,479,12,03/21/2020
Beijing,Mainland China,2020-02-21T01:03:09,396,4,03/21/2020
Shanghai,Mainland China,2020-02-21T05:53:01,334,2,03/21/2020
Hebei,Mainland China,2020-02-21T12:53:01,308,5,03/21/2020
Fujian,Mainland China,2020-02-21T11:43:01,293,1,03/21/2020
Guangxi,Mainland China,2020-02-21T11:43:01,246,2,03/21/2020
Shaanxi,Mainland China,2020-02-21T11:43:01,245,1,03/21/2020
,South Korea,2020-02-21T13:43:02,204,2,03/21/2020
Yunnan,Mainland China,2020-02-21T06:23:04,174,2,03/21/2020
Hainan,Mainland China,2020-02-21T10:13:09,168,4,03/21/2020
Guizhou,Mainland China,2020-02-21T12:53:01,146,2,03/21/2020
Shanxi,Mainland China,2020-02-21T23:33:06,132,0,03/21/2020
Tianjin,Mainland China,2020-02-21T12:53:01,132,3,03/21/2020
Liaoning,Mainland China,2020-02-21T01:33:02,121,1,03/21/2020
,Japan,2020-02-21T19:03:06,105,1,03/21/2020
Gansu,Mainland China,2020-02-21T15:13:07,91,2,03/21/2020
Jilin,Mainland China,2020-02-21T10:13:09,91,1,03/21/2020
,Singapore,2020-02-21T03:43:02,85,0,03/21/2020
Xinjiang,Mainland China,2020-02-21T13:43:02,76,1,03/21/2020
Inner Mongolia,Mainland China,2020-02-21T08:03:15,75,0,03/21/2020
Ningxia,Mainland China,2020-02-21T06:23:04,71,0,03/21/2020
Hong Kong,Hong Kong,2020-02-21T03:43:02,68,2,03/21/2020
,Thailand,2020-02-21T18:53:02,35,0,03/21/2020
Taiwan,Taiwan,2020-02-21T06:53:03,26,1,03/21/2020
,Malaysia,2020-02-19T09:33:03,22,0,03/21/2020
,Italy,2020-02-21T23:33:06,20,1,03/21/2020
,Iran,2020-02-21T18:53:02,18,4,03/21/2020
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,03/21/2020
,Germany,2020-02-21T23:03:13,16,0,03/21/2020
,Vietnam,2020-02-21T06:03:04,16,0,03/21/2020
,France,2020-02-15T20:53:02,12,1,03/21/2020
"Ashland, NE",US,2020-02-21T23:23:06,11,03/21/2020,0
Macau,Macau,2020-02-20T02:13:19,10,0,03/21/2020
,UK,2020-02-16T16:23:06,9,0,03/21/2020
,United Arab Emirates,2020-02-16T20:43:02,9,0,03/21/2020
British Columbia,Canada,2020-02-21T05:23:04,6,0,03/21/2020
Queensland,Australia,2020-02-21T05:43:02,5,0,03/21/2020
"Travis, CA",US,2020-02-21T23:23:06,5,03/21/2020,0
From Diamond Princess,Australia,2020-02-21T23:03:13,4,0,03/21/2020
New South Wales,Australia,2020-02-13T17:53:03,4,0,03/21/2020
Victoria,Australia,2020-02-13T17:53:03,4,0,03/21/2020
,India,2020-02-16T07:43:02,3,0,03/21/2020
,Philippines,2020-02-12T07:43:02,3,1,03/21/2020
South Australia,Australia,2020-02-17T08:13:09,2,0,03/21/2020
"Toronto, ON",Canada,2020-02-21T05:23:04,2,03/21/2020,2
,Russia,2020-02-12T14:43:03,2,0,03/21/2020
,Spain,2020-02-15T17:23:04,2,0,03/21/2020
"Chicago, IL",US,2020-02-09T19:03:03,2,03/21/2020,2
"Lackland, TX",US,2020-02-21T23:23:06,2,03/21/2020,0
"San Benito, CA",US,2020-02-03T03:53:02,2,03/21/2020,0
"San Diego County, CA",US,2020-02-21T05:43:02,2,03/21/2020,1
"Santa Clara, CA",US,2020-02-21T05:23:04,2,03/21/2020,1
,Belgium,2020-02-17T04:23:06,1,0,03/21/2020
,Cambodia,2020-02-12T07:43:02,1,0,03/21/2020
"London, ON",Canada,2020-02-12T18:53:03,1,03/21/2020,1
,Egypt,2020-02-21T18:53:02,1,0,03/21/2020
,Finland,2020-02-12T00:03:12,1,0,03/21/2020
From Diamond Princess,Israel,2020-02-21T15:33:03,1,0,03/21/2020
None,Lebanon,2020-02-21T15:33:03,1,0,03/21/2020
Tibet,Mainland China,2020-02-12T06:43:02,1,0,03/21/2020
,Nepal,2020-02-12T14:43:03,1,0,03/21/2020
,Sri Lanka,2020-02-08T03:43:03,1,0,03/21/2020
,Sweden,2020-02-01T02:13:26,1,0,03/21/2020
"Boston, MA",US,2020-02-01T19:43:03,1,03/21/2020,0
"Humboldt County, CA",US,2020-02-21T05:13:09,1,03/21/2020,0
"Los Angeles, CA",US,2020-02-01T19:53:03,1,03/21/2020,0
"Madison, WI",US,2020-02-05T21:53:02,1,03/21/2020,0
"Orange, CA",US,2020-02-01T19:53:03,1,03/21/2020,0
"Sacramento County, CA",US,2020-02-21T23:13:16,1,03/21/2020,0
"San Antonio, TX",US,2020-02-13T18:53:02,1,03/21/2020,0
"Seattle, WA",US,2020-02-09T07:03:04,1,03/21/2020,1
"Tempe, AZ",US,2020-02-01T19:43:03,1,03/21/2020,0
Hubei,Mainland China,2020-02-22T23:33:06,64084,2346,03/21/2020
Guangdong,Mainland China,2020-02-22T10:03:04,1339,5,03/21/2020
Henan,Mainland China,2020-02-22T14:13:38,1270,19,03/21/2020
Zhejiang,Mainland China,2020-02-22T11:13:13,1205,1,03/21/2020
Hunan,Mainland China,2020-02-22T10:03:04,1013,4,03/21/2020
Anhui,Mainland China,2020-02-22T07:43:03,989,6,03/21/2020
Jiangxi,Mainland China,2020-02-22T06:13:05,934,1,03/21/2020
Shandong,Mainland China,2020-02-22T09:43:02,750,4,03/21/2020
Diamond Princess cruise ship,Others,2020-02-20T15:53:03,634,2,03/21/2020
Jiangsu,Mainland China,2020-02-22T07:43:03,631,0,03/21/2020
Chongqing,Mainland China,2020-02-22T23:23:05,573,6,03/21/2020
Sichuan,Mainland China,2020-02-22T13:03:03,526,3,03/21/2020
Heilongjiang,Mainland China,2020-02-22T11:13:13,479,12,03/21/2020
,South Korea,2020-02-22T08:33:02,433,2,03/21/2020
Beijing,Mainland China,2020-02-22T02:23:05,399,4,03/21/2020
Shanghai,Mainland China,2020-02-22T06:33:17,335,3,03/21/2020
Hebei,Mainland China,2020-02-22T12:33:04,309,6,03/21/2020
Fujian,Mainland China,2020-02-22T14:03:04,293,1,03/21/2020
Guangxi,Mainland China,2020-02-22T05:53:02,249,2,03/21/2020
Shaanxi,Mainland China,2020-02-22T09:53:02,245,1,03/21/2020
Yunnan,Mainland China,2020-02-22T04:43:02,174,2,03/21/2020
Hainan,Mainland China,2020-02-22T09:53:02,168,4,03/21/2020
Guizhou,Mainland China,2020-02-22T01:03:10,146,2,03/21/2020
Tianjin,Mainland China,2020-02-22T12:33:04,135,3,03/21/2020
Shanxi,Mainland China,2020-02-22T23:23:05,132,0,03/21/2020
,Japan,2020-02-22T14:53:02,122,1,03/21/2020
Liaoning,Mainland China,2020-02-22T02:23:05,121,1,03/21/2020
Gansu,Mainland China,2020-02-21T15:13:07,91,2,03/21/2020
Jilin,Mainland China,2020-02-22T12:33:04,91,1,03/21/2020
,Singapore,2020-02-21T03:43:02,85,0,03/21/2020
Xinjiang,Mainland China,2020-02-22T11:13:14,76,2,03/21/2020
Inner Mongolia,Mainland China,2020-02-22T23:53:01,75,0,03/21/2020
Ningxia,Mainland China,2020-02-21T06:23:04,71,0,03/21/2020
Hong Kong,Hong Kong,2020-02-22T13:23:05,69,2,03/21/2020
,Italy,2020-02-22T23:43:02,62,2,03/21/2020
,Thailand,2020-02-21T18:53:02,35,0,03/21/2020
,Iran,2020-02-22T10:03:05,28,5,03/21/2020
Taiwan,Taiwan,2020-02-21T06:53:03,26,1,03/21/2020
,Malaysia,2020-02-19T09:33:03,22,0,03/21/2020
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,03/21/2020
,Germany,2020-02-21T23:03:13,16,0,03/21/2020
,Vietnam,2020-02-21T06:03:04,16,0,03/21/2020
,United Arab Emirates,2020-02-22T14:53:02,13,0,03/21/2020
,France,2020-02-15T20:53:02,12,1,03/21/2020
"Omaha, NE (From Diamond Princess)",US,2020-02-22T23:03:09,11,03/21/2020,0
Macau,Macau,2020-02-20T02:13:19,10,0,03/21/2020
,UK,2020-02-16T16:23:06,9,0,03/21/2020
From Diamond Princess,Australia,2020-02-22T17:03:05,7,0,03/21/2020
British Columbia,Canada,2020-02-21T05:23:04,6,0,03/21/2020
Queensland,Australia,2020-02-21T05:43:02,5,0,03/21/2020
"Travis, CA (From Diamond Princess)",US,2020-02-22T17:13:24,5,03/21/2020,0
New South Wales,Australia,2020-02-13T17:53:03,4,0,03/21/2020
Victoria,Australia,2020-02-13T17:53:03,4,0,03/21/2020
,India,2020-02-16T07:43:02,3,0,03/21/2020
,Philippines,2020-02-12T07:43:02,3,1,03/21/2020
South Australia,Australia,2020-02-17T08:13:09,2,0,03/21/2020
"Toronto, ON",Canada,2020-02-21T05:23:04,2,03/21/2020,2
,Russia,2020-02-12T14:43:03,2,0,03/21/2020
,Spain,2020-02-15T17:23:04,2,0,03/21/2020
"Chicago, IL",US,2020-02-09T19:03:03,2,03/21/2020,2
"Lackland, TX (From Diamond Princess)",US,2020-02-22T17:13:24,2,03/21/2020,0
"San Benito, CA",US,2020-02-03T03:53:02,2,03/21/2020,0
"San Diego County, CA",US,2020-02-21T05:43:02,2,03/21/2020,1
"Santa Clara, CA",US,2020-02-21T05:23:04,2,03/21/2020,1
,Belgium,2020-02-17T04:23:06,1,0,03/21/2020
,Cambodia,2020-02-12T07:43:02,1,0,03/21/2020
"London, ON",Canada,2020-02-12T18:53:03,1,03/21/2020,1
,Egypt,2020-02-21T18:53:02,1,0,03/21/2020
,Finland,2020-02-12T00:03:12,1,0,03/21/2020
From Diamond Princess,Israel,2020-02-22T20:53:02,1,0,03/21/2020
,Lebanon,2020-02-22T20:53:02,1,0,03/21/2020
Tibet,Mainland China,2020-02-12T06:43:02,1,0,03/21/2020
,Nepal,2020-02-12T14:43:03,1,0,03/21/2020
,Sri Lanka,2020-02-08T03:43:03,1,0,03/21/2020
,Sweden,2020-02-01T02:13:26,1,0,03/21/2020
"Boston, MA",US,2020-02-01T19:43:03,1,03/21/2020,0
"Humboldt County, CA",US,2020-02-21T05:13:09,1,03/21/2020,0
"Los Angeles, CA",US,2020-02-01T19:53:03,1,03/21/2020,0
"Madison, WI",US,2020-02-05T21:53:02,1,03/21/2020,0
"Orange, CA",US,2020-02-01T19:53:03,1,03/21/2020,0
"Sacramento County, CA",US,2020-02-21T23:13:16,1,03/21/2020,0
"San Antonio, TX",US,2020-02-13T18:53:02,1,03/21/2020,0
"Seattle, WA",US,2020-02-09T07:03:04,1,03/21/2020,1
"Tempe, AZ",US,2020-02-01T19:43:03,1,03/21/2020,0
Hubei,Mainland China,2020-02-23T11:33:03,64084,2346,03/21/2020
Guangdong,Mainland China,2020-02-23T08:53:02,1342,6,03/21/2020
Henan,Mainland China,2020-02-23T10:23:02,1271,19,03/21/2020
Zhejiang,Mainland China,2020-02-23T13:43:02,1205,1,03/21/2020
Hunan,Mainland China,2020-02-23T10:33:03,1016,4,03/21/2020
Anhui,Mainland China,2020-02-23T10:53:02,989,6,03/21/2020
Jiangxi,Mainland China,2020-02-23T09:23:02,934,1,03/21/2020
Shandong,Mainland China,2020-02-23T11:33:03,754,4,03/21/2020
Diamond Princess cruise ship,Others,2020-02-23T22:33:03,691,3,03/21/2020
Jiangsu,Mainland China,2020-02-23T08:53:02,631,0,03/21/2020
,South Korea,2020-02-23T23:33:07,602,6,03/21/2020
Chongqing,Mainland China,2020-02-23T23:13:05,575,6,03/21/2020
Sichuan,Mainland China,2020-02-23T08:53:02,526,3,03/21/2020
Heilongjiang,Mainland China,2020-02-23T13:43:02,480,12,03/21/2020
Beijing,Mainland China,2020-02-23T01:13:13,399,4,03/21/2020
Shanghai,Mainland China,2020-02-23T03:13:07,335,3,03/21/2020
Hebei,Mainland China,2020-02-23T11:33:03,311,6,03/21/2020
Fujian,Mainland China,2020-02-23T10:33:03,293,1,03/21/2020
Guangxi,Mainland China,2020-02-23T10:33:03,249,2,03/21/2020
Shaanxi,Mainland China,2020-02-23T12:13:14,245,1,03/21/2020
Yunnan,Mainland China,2020-02-23T05:33:03,174,2,03/21/2020
Hainan,Mainland China,2020-02-23T23:23:03,168,5,03/21/2020
,Italy,2020-02-23T23:43:02,155,3,03/21/2020
,Japan,2020-02-23T23:33:07,147,1,03/21/2020
Guizhou,Mainland China,2020-02-23T12:43:02,146,2,03/21/2020
Tianjin,Mainland China,2020-02-23T12:43:02,135,3,03/21/2020
Shanxi,Mainland China,2020-02-23T23:03:08,132,0,03/21/2020
Liaoning,Mainland China,2020-02-23T13:33:02,121,1,03/21/2020
Gansu,Mainland China,2020-02-23T13:23:06,91,2,03/21/2020
Jilin,Mainland China,2020-02-23T12:43:02,91,1,03/21/2020
,Singapore,2020-02-23T15:13:15,89,0,03/21/2020
Xinjiang,Mainland China,2020-02-23T14:43:04,76,2,03/21/2020
Inner Mongolia,Mainland China,2020-02-23T09:43:02,75,0,03/21/2020
Hong Kong,Hong Kong,2020-02-23T09:53:02,74,2,03/21/2020
Ningxia,Mainland China,2020-02-23T05:33:03,71,0,03/21/2020
,Iran,2020-02-23T15:13:15,43,8,03/21/2020
,Thailand,2020-02-23T15:03:05,35,0,03/21/2020
Taiwan,Taiwan,2020-02-23T09:53:02,28,1,03/21/2020
,Malaysia,2020-02-19T09:33:03,22,0,03/21/2020
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,03/21/2020
,Germany,2020-02-21T23:03:13,16,0,03/21/2020
,Vietnam,2020-02-21T06:03:04,16,0,03/21/2020
,United Arab Emirates,2020-02-22T14:53:02,13,0,03/21/2020
,France,2020-02-15T20:53:02,12,1,03/21/2020
"Omaha, NE (From Diamond Princess)",US,2020-02-22T23:03:09,11,03/21/2020,0
Macau,Macau,2020-02-20T02:13:19,10,0,03/21/2020
,UK,2020-02-16T16:23:06,9,0,03/21/2020
From Diamond Princess,Australia,2020-02-22T17:03:05,7,0,03/21/2020
British Columbia,Canada,2020-02-21T05:23:04,6,0,03/21/2020
Queensland,Australia,2020-02-21T05:43:02,5,0,03/21/2020
"Travis, CA (From Diamond Princess)",US,2020-02-22T17:13:24,5,03/21/2020,0
New South Wales,Australia,2020-02-13T17:53:03,4,0,03/21/2020
Victoria,Australia,2020-02-13T17:53:03,4,0,03/21/2020
,India,2020-02-16T07:43:02,3,0,03/21/2020
,Philippines,2020-02-12T07:43:02,3,1,03/21/2020
South Australia,Australia,2020-02-17T08:13:09,2,0,03/21/2020
"Toronto, ON",Canada,2020-02-21T05:23:04,2,03/21/2020,2
,Russia,2020-02-12T14:43:03,2,0,03/21/2020
,Spain,2020-02-15T17:23:04,2,0,03/21/2020
"Chicago, IL",US,2020-02-09T19:03:03,2,03/21/2020,2
"Lackland, TX (From Diamond Princess)",US,2020-02-22T17:13:24,2,03/21/2020,0
"San Benito, CA",US,2020-02-03T03:53:02,2,03/21/2020,0
"San Diego County, CA",US,2020-02-21T05:43:02,2,03/21/2020,1
"Santa Clara, CA",US,2020-02-21T05:23:04,2,03/21/2020,1
,Belgium,2020-02-17T04:23:06,1,0,03/21/2020
,Cambodia,2020-02-12T07:43:02,1,0,03/21/2020
"London, ON",Canada,2020-02-12T18:53:03,1,03/21/2020,1
,Egypt,2020-02-21T18:53:02,1,0,03/21/2020
,Finland,2020-02-12T00:03:12,1,0,03/21/2020
From Diamond Princess,Israel,2020-02-22T20:53:02,1,0,03/21/2020
,Lebanon,2020-02-22T20:53:02,1,0,03/21/2020
Tibet,Mainland China,2020-02-12T06:43:02,1,0,03/21/2020
,Nepal,2020-02-12T14:43:03,1,0,03/21/2020
,Sri Lanka,2020-02-08T03:43:03,1,0,03/21/2020
,Sweden,2020-02-01T02:13:26,1,0,03/21/2020
"Boston, MA",US,2020-02-01T19:43:03,1,03/21/2020,0
"Humboldt County, CA",US,2020-02-21T05:13:09,1,03/21/2020,0
"Los Angeles, CA",US,2020-02-01T19:53:03,1,03/21/2020,0
"Madison, WI",US,2020-02-05T21:53:02,1,03/21/2020,0
"Orange, CA",US,2020-02-01T19:53:03,1,03/21/2020,0
"Sacramento County, CA",US,2020-02-21T23:13:16,1,03/21/2020,0
"San Antonio, TX",US,2020-02-13T18:53:02,1,03/21/2020,0
"Seattle, WA",US,2020-02-09T07:03:04,1,03/21/2020,1
"Tempe, AZ",US,2020-02-01T19:43:03,1,03/21/2020,0
None,Iraq,2020-02-23T18:23:06,0,0,03/21/2020
Hubei,Mainland China,2020-02-24T11:13:09,64287,2495,03/21/2020
Guangdong,Mainland China,2020-02-24T10:23:02,1345,6,03/21/2020
Henan,Mainland China,2020-02-24T13:23:05,1271,19,03/21/2020
Zhejiang,Mainland China,2020-02-24T09:43:02,1205,1,03/21/2020
Hunan,Mainland China,2020-02-24T14:13:11,1016,4,03/21/2020
Anhui,Mainland China,2020-02-24T09:43:02,989,6,03/21/2020
Jiangxi,Mainland China,2020-02-24T01:23:09,934,1,03/21/2020
,South Korea,2020-02-24T11:13:10,833,8,03/21/2020
Shandong,Mainland China,2020-02-24T10:23:02,755,5,03/21/2020
Diamond Princess cruise ship,Others,2020-02-23T22:33:03,691,3,03/21/2020
Jiangsu,Mainland China,2020-02-24T14:53:02,631,0,03/21/2020
Chongqing,Mainland China,2020-02-24T23:23:01,576,6,03/21/2020
Sichuan,Mainland China,2020-02-24T14:13:11,527,3,03/21/2020
Heilongjiang,Mainland China,2020-02-24T14:53:02,480,12,03/21/2020
Beijing,Mainland China,2020-02-24T00:53:02,399,4,03/21/2020
Shanghai,Mainland China,2020-02-24T07:03:06,335,3,03/21/2020
Hebei,Mainland China,2020-02-24T14:13:11,311,6,03/21/2020
Fujian,Mainland China,2020-02-24T10:23:02,293,1,03/21/2020
Guangxi,Mainland China,2020-02-24T06:53:02,251,2,03/21/2020
Shaanxi,Mainland China,2020-02-24T14:53:02,245,1,03/21/2020
,Italy,2020-02-24T23:43:01,229,7,03/21/2020
Yunnan,Mainland China,2020-02-24T23:13:02,174,2,03/21/2020
Hainan,Mainland China,2020-02-24T14:53:02,168,5,03/21/2020
,Japan,2020-02-24T14:23:03,159,1,03/21/2020
Guizhou,Mainland China,2020-02-23T12:43:02,146,2,03/21/2020
Tianjin,Mainland China,2020-02-24T15:03:05,135,3,03/21/2020
Shanxi,Mainland China,2020-02-24T23:13:02,133,0,03/21/2020
Liaoning,Mainland China,2020-02-24T06:53:02,121,1,03/21/2020
Jilin,Mainland China,2020-02-24T09:43:02,93,1,03/21/2020
Gansu,Mainland China,2020-02-24T15:13:07,91,2,03/21/2020
,Singapore,2020-02-23T15:13:15,89,0,03/21/2020
Hong Kong,Hong Kong,2020-02-24T11:23:06,79,2,03/21/2020
Xinjiang,Mainland China,2020-02-24T15:03:05,76,2,03/21/2020
Inner Mongolia,Mainland China,2020-02-24T15:03:05,75,0,03/21/2020
Ningxia,Mainland China,2020-02-24T06:53:02,71,0,03/21/2020
,Iran,2020-02-24T11:13:10,61,12,03/21/2020
Unassigned Location (From Diamond Princess),US,2020-02-24T23:33:02,36,0,03/21/2020
,Thailand,2020-02-23T15:03:05,35,0,03/21/2020
Taiwan,Taiwan,2020-02-24T10:13:28,30,1,03/21/2020
,Malaysia,2020-02-24T11:53:02,22,0,03/21/2020
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,03/21/2020
,Germany,2020-02-21T23:03:13,16,0,03/21/2020
,Vietnam,2020-02-21T06:03:04,16,0,03/21/2020
,UK,2020-02-24T08:33:02,13,0,03/21/2020
,United Arab Emirates,2020-02-22T14:53:02,13,0,03/21/2020
,France,2020-02-15T20:53:02,12,1,03/21/2020
Macau,Macau,2020-02-20T02:13:19,10,0,03/21/2020
From Diamond Princess,Australia,2020-02-22T17:03:05,7,0,03/21/2020
British Columbia,Canada,2020-02-21T05:23:04,6,0,03/21/2020
Queensland,Australia,2020-02-21T05:43:02,5,0,03/21/2020
New South Wales,Australia,2020-02-13T17:53:03,4,0,03/21/2020
Victoria,Australia,2020-02-13T17:53:03,4,0,03/21/2020
"Toronto, ON",Canada,2020-02-24T14:43:03,3,03/21/2020,2
,India,2020-02-16T07:43:02,3,0,03/21/2020
